geneSymbol,diseaseId,diseaseName
JAG1,C0085280,Alagille Syndrome
NOTCH2,C0085280,Alagille Syndrome
JAG1,C1956125,Alagille Syndrome 1
NOTCH2,C1956125,Alagille Syndrome 1
JAG1,C1857761,Alagille Syndrome 2
NOTCH2,C1857761,Alagille Syndrome 2
PPARD,C0023896,Alcoholic Liver Diseases
RBP4,C0023896,Alcoholic Liver Diseases
SPP1,C0023896,Alcoholic Liver Diseases
PNPLA3,C0023896,Alcoholic Liver Diseases
CYP2E1,C2718067,Alcoholic Steatohepatitis
PPARA,C2718067,Alcoholic Steatohepatitis
SOD1,C2718067,Alcoholic Steatohepatitis
ALDH2,C0236664,Alcohol-Related Disorders
NPY,C0236664,Alcohol-Related Disorders
NPR1,C0236664,Alcohol-Related Disorders
CARTPT,C0236664,Alcohol-Related Disorders
SERPINA1,C0221757,alpha 1-Antitrypsin Deficiency
ASS1,C0751750,"Argininosuccinic Acid Synthetase Deficiency Disease, Partial"
ASS1,C0751751,"Argininosuccinic Acid Synthetase Deficiency, Complete"
ASL,C0268547,Argininosuccinic Aciduria
ALDOB,C0241910,Autoimmune Chronic Hepatitis
C1S,C0241910,Autoimmune Chronic Hepatitis
CXCL1,C0241910,Autoimmune Chronic Hepatitis
IFNG,C0241910,Autoimmune Chronic Hepatitis
IL2,C0241910,Autoimmune Chronic Hepatitis
IL4,C0241910,Autoimmune Chronic Hepatitis
IL5,C0241910,Autoimmune Chronic Hepatitis
IL6,C0241910,Autoimmune Chronic Hepatitis
IL9,C0241910,Autoimmune Chronic Hepatitis
IL10,C0241910,Autoimmune Chronic Hepatitis
IL13,C0241910,Autoimmune Chronic Hepatitis
IL18,C0241910,Autoimmune Chronic Hepatitis
LEP,C0241910,Autoimmune Chronic Hepatitis
CCL2,C0241910,Autoimmune Chronic Hepatitis
CCL5,C0241910,Autoimmune Chronic Hepatitis
TGFB1,C0241910,Autoimmune Chronic Hepatitis
IL22,C0241910,Autoimmune Chronic Hepatitis
HSD3B7,C1843116,"Bile acid synthesis defect, congenital, 1"
AKR1D1,C1856127,"Bile acid synthesis defect, congenital, 2"
CYP7A1,C3151147,"Bile Acid Synthesis Defect, Congenital, 3"
CYP7B1,C3151147,"Bile Acid Synthesis Defect, Congenital, 3"
AMACR,C1858328,"Bile acid synthesis defect, congenital, 4"
